state,age,population
AL,<10,0.123622749
AK,<10,0.144860251
AZ,<10,0.132581228
AR,<10,0.132114098
CA,<10,0.130346307
CO,<10,0.128903149
CT,<10,0.111289176
DE,<10,0.12001455
DC,<10,0.112861888
FL,<10,0.110914115
GA,<10,0.135022061
HI,<10,0.124840752
ID,<10,0.144702207
IL,<10,0.126028776
IN,<10,0.130968781
IA,<10,0.129309671
KS,<10,0.138616468
KY,<10,0.125932998
LA,<10,0.133901246
ME,<10,0.103730817
MD,<10,0.124490638
MA,<10,0.109423369
MI,<10,0.11922015
MN,<10,0.130548749
MS,<10,0.133911773
MO,<10,0.126071287
MT,<10,0.123139641
NE,<10,0.140075343
NV,<10,0.130094971
NH,<10,0.104528577
NJ,<10,0.121041033
NM,<10,0.13274697
NY,<10,0.117778909
NC,<10,0.12577403
ND,<10,0.135129224
OH,<10,0.12279669
OK,<10,0.137909618
OR,<10,0.119142187
PA,<10,0.114121842
RI,<10,0.105621575
SC,<10,0.12402068
SD,<10,0.141431019
TN,<10,0.124985167
TX,<10,0.147760303
UT,<10,0.17416575
VT,<10,0.101825312
VA,<10,0.124379249
WA,<10,0.126646615
WV,<10,0.112137965
WI,<10,0.122619074
WY,<10,0.134156277
PR,<10,0.11033877
AL,10-19,0.131949465
AK,10-19,0.135611484
AZ,10-19,0.135650525
AR,10-19,0.133801161
CA,10-19,0.13375882
CO,10-19,0.130137826
CT,10-19,0.134054791
DE,10-19,0.126088189
DC,10-19,0.095268805
FL,10-19,0.11693836
GA,10-19,0.140757695
HI,10-19,0.115697902
ID,10-19,0.146445423
IL,10-19,0.133522113
IN,10-19,0.137428224
IA,10-19,0.134767425
KS,10-19,0.138734123
KY,10-19,0.130522991
LA,10-19,0.132087083
ME,10-19,0.117130089
MD,10-19,0.128312513
MA,10-19,0.127907551
MI,10-19,0.133614979
MN,10-19,0.131061512
MS,10-19,0.140950799
MO,10-19,0.130854896
MT,10-19,0.123407378
NE,10-19,0.136934893
NV,10-19,0.126890164
NH,10-19,0.126172973
NJ,10-19,0.129396074
NM,10-19,0.135721039
NY,10-19,0.124157702
NC,10-19,0.131819804
ND,10-19,0.123707825
OH,10-19,0.132067989
OK,10-19,0.134761968
OR,10-19,0.121876559
PA,10-19,0.125783862
RI,10-19,0.129811445
SC,10-19,0.128065064
SD,10-19,0.133225938
TN,10-19,0.128722028
TX,10-19,0.145068441
UT,10-19,0.162502243
VT,10-19,0.126708386
VA,10-19,0.128209676
WA,10-19,0.124811788
WV,10-19,0.118383591
WI,10-19,0.131233798
WY,10-19,0.129556163
PR,10-19,0.135929914
AL,20-29,0.136674981
AK,20-29,0.163768991
AZ,20-29,0.139673515
AR,20-29,0.134647724
CA,20-29,0.150292959
CO,20-29,0.14563632
CT,20-29,0.128832097
DE,20-29,0.136465906
DC,20-29,0.207851486
FL,20-29,0.130318613
GA,20-29,0.140474408
HI,20-29,0.144542621
ID,20-29,0.133712182
IL,20-29,0.139261049
IN,20-29,0.137427617
IA,20-29,0.135021401
KS,20-29,0.140412353
KY,20-29,0.134592131
LA,20-29,0.147149066
ME,20-29,0.117569965
MD,20-29,0.13680527
MA,20-29,0.14406992
MI,20-29,0.135038649
MN,20-29,0.133597438
MS,20-29,0.138564201
MO,20-29,0.137256255
MT,20-29,0.133229626
NE,20-29,0.138548706
NV,20-29,0.13836217
NH,20-29,0.126217417
NJ,20-29,0.127859641
NM,20-29,0.139148852
NY,20-29,0.146936023
NC,20-29,0.135827921
ND,20-29,0.169132609
OH,20-29,0.132523157
OK,20-29,0.142566201
OR,20-29,0.135248591
PA,20-29,0.133952682
RI,20-29,0.14573287
SC,20-29,0.13807188
SD,20-29,0.13717984
TN,20-29,0.136734235
TX,20-29,0.146400924
UT,20-29,0.15778549
VT,20-29,0.130563083
VA,20-29,0.140865415
WA,20-29,0.142005834
WV,20-29,0.125685502
WI,20-29,0.132230706
WY,20-29,0.142185037
PR,20-29,0.136053165
AL,30-39,0.124559507
AK,30-39,0.138437006
AZ,30-39,0.127375224
AR,30-39,0.125653198
CA,30-39,0.138513051
CO,30-39,0.143000525
CT,30-39,0.118400923
DE,30-39,0.122032321
DC,30-39,0.184398089
FL,30-39,0.121206047
GA,30-39,0.134386276
HI,30-39,0.132696883
ID,30-39,0.128096715
IL,30-39,0.133986643
IN,30-39,0.125514259
IA,30-39,0.123491714
KS,30-39,0.127223896
KY,30-39,0.126519128
LA,30-39,0.132469805
ME,30-39,0.111055302
MD,30-39,0.131562063
MA,30-39,0.125673098
MI,30-39,0.1172788
MN,30-39,0.131278725
MS,30-39,0.125359629
MO,30-39,0.125915172
MT,30-39,0.122146863
NE,30-39,0.129825824
NV,30-39,0.13745592
NH,30-39,0.114055486
NJ,30-39,0.128255021
NM,30-39,0.125117818
NY,30-39,0.132268597
NC,30-39,0.127652948
ND,30-39,0.128657823
OH,30-39,0.120715554
OK,30-39,0.129371819
OR,30-39,0.135040418
PA,30-39,0.11893083
RI,30-39,0.119965936
SC,30-39,0.123379469
SD,30-39,0.123962174
TN,30-39,0.127872915
TX,30-39,0.139875098
UT,30-39,0.147878852
VT,30-39,0.111923532
VA,30-39,0.133823191
WA,30-39,0.137225076
WV,30-39,0.119438251
WI,30-39,0.124153619
WY,30-39,0.131917966
PR,30-39,0.125189516
AL,40-49,0.129224914
AK,40-49,0.124229326
AZ,40-49,0.123843422
AR,40-49,0.12469614
CA,40-49,0.133989507
CO,40-49,0.131631119
CT,40-49,0.138290461
DE,40-49,0.125803604
DC,40-49,0.122259332
FL,40-49,0.129202254
GA,40-49,0.139088374
HI,40-49,0.12513785
ID,40-49,0.119033949
IL,40-49,0.132050321
IN,40-49,0.128089993
IA,40-49,0.119333134
KS,40-49,0.118837922
KY,40-49,0.131585324
LA,40-49,0.123123468
ME,40-49,0.133021235
MD,40-49,0.136894029
MA,40-49,0.135877569
MI,40-49,0.129482724
MN,40-49,0.126989133
MS,40-49,0.126176238
MO,40-49,0.123932715
MT,40-49,0.113839188
NE,40-49,0.118260697
NV,40-49,0.136403149
NH,40-49,0.137629068
NJ,40-49,0.140722135
NM,40-49,0.117323492
NY,40-49,0.132876391
NC,40-49,0.136582788
ND,40-49,0.109115928
OH,40-49,0.128675808
OK,40-49,0.121119654
OR,40-49,0.127521836
PA,40-49,0.128699465
RI,40-49,0.130766408
SC,40-49,0.128199098
SD,40-49,0.113139175
TN,40-49,0.132306324
TX,40-49,0.131536162
UT,40-49,0.111438743
VT,40-49,0.127715972
VA,40-49,0.13656882
WA,40-49,0.130239783
WV,40-49,0.129039073
WI,40-49,0.127246864
WY,40-49,0.117428121
PR,40-49,0.12920353
AL,50-59,0.139194623
AK,50-59,0.141912588
AZ,50-59,0.124076458
AR,50-59,0.133088673
CA,50-59,0.130441019
CO,50-59,0.135402324
CT,50-59,0.152250339
DE,50-59,0.142646532
DC,50-59,0.113471895
FL,50-59,0.138603416
GA,50-59,0.132482682
HI,50-59,0.133296738
ID,50-59,0.125449179
IL,50-59,0.137987053
IN,50-59,0.138366675
IA,50-59,0.137628119
KS,50-59,0.134504736
KY,50-59,0.141243326
LA,50-59,0.136026881
ME,50-59,0.162255258
MD,50-59,0.14476379
MA,50-59,0.145225042
MI,50-59,0.146773028
MN,50-59,0.143583554
MS,50-59,0.13387029
MO,50-59,0.141515411
MT,50-59,0.146376116
NE,50-59,0.13337398
NV,50-59,0.131642958
NH,50-59,0.16418042
NJ,50-59,0.146628843
NM,50-59,0.134617167
NY,50-59,0.139897247
NC,50-59,0.136418918
ND,50-59,0.134057449
OH,50-59,0.144800427
OK,50-59,0.132328273
OR,50-59,0.134200193
PA,50-59,0.147166879
RI,50-59,0.148059111
SC,50-59,0.137220724
SD,50-59,0.137490042
TN,50-59,0.138098772
TX,50-59,0.124086512
UT,50-59,0.102290476
VT,50-59,0.158916022
VA,50-59,0.139829833
WA,50-59,0.137195952
WV,50-59,0.145900638
WI,50-59,0.147472075
WY,50-59,0.138960498
PR,50-59,0.128210156
AL,60-69,0.113273585
AK,60-69,0.095640255
AZ,60-69,0.109664198
AR,60-69,0.111078696
CA,60-69,0.096689633
CO,60-69,0.105121289
CT,60-69,0.111742282
DE,60-69,0.118564879
DC,60-69,0.086469229
FL,60-69,0.120628303
GA,60-69,0.098843586
HI,60-69,0.116686815
ID,60-69,0.109710098
IL,60-69,0.103186555
IN,60-69,0.106914737
IA,60-69,0.110744292
KS,60-69,0.103771118
KY,60-69,0.112361114
LA,60-69,0.105226157
ME,60-69,0.135000297
MD,60-69,0.106765011
MA,60-69,0.109431823
MI,60-69,0.115860479
MN,60-69,0.105912123
MS,60-69,0.106866003
MO,60-69,0.110382265
MT,60-69,0.127983342
NE,60-69,0.104028738
NV,60-69,0.10906384
NH,60-69,0.123756406
NJ,60-69,0.106152619
NM,60-69,0.11477772
NY,60-69,0.106369416
NC,60-69,0.110183981
ND,60-69,0.100283633
OH,60-69,0.113988325
OK,60-69,0.10442387
OR,60-69,0.123269987
PA,60-69,0.1166723
RI,60-69,0.111573261
SC,60-69,0.119938651
SD,60-69,0.109068947
TN,60-69,0.113171042
TX,60-69,0.090200874
UT,60-69,0.078010071
VT,60-69,0.131155499
VA,60-69,0.106104821
WA,60-69,0.110871174
WV,60-69,0.131687912
WI,60-69,0.112082996
WY,60-69,0.115747244
PR,60-69,0.116712685
AL,70-79,0.065397082
AK,70-79,0.038572039
AZ,70-79,0.069279582
AR,70-79,0.06669593
CA,70-79,0.052042926
CO,70-79,0.051213079
CT,70-79,0.060700223
DE,70-79,0.069936182
DC,70-79,0.047589638
FL,70-79,0.081042964
GA,70-79,0.052291441
HI,70-79,0.060371104
ID,70-79,0.059689401
IL,70-79,0.056710156
IN,70-79,0.058393421
IA,70-79,0.063485385
KS,70-79,0.057310996
KY,70-79,0.06209467
LA,70-79,0.057284095
ME,70-79,0.073612532
MD,70-79,0.05549353
MA,70-79,0.059614725
MI,70-79,0.062537539
MN,70-79,0.057404802
MS,70-79,0.060616715
MO,70-79,0.064044282
MT,70-79,0.068915986
NE,70-79,0.057222318
NV,70-79,0.061109013
NH,70-79,0.063872549
NJ,70-79,0.058731713
NM,70-79,0.064826912
NY,70-79,0.058893643
NC,70-79,0.061286042
ND,70-79,0.056166985
OH,70-79,0.062842988
OK,70-79,0.061896914
OR,70-79,0.064237029
PA,70-79,0.066559647
RI,70-79,0.060084913
SC,70-79,0.066618266
SD,70-79,0.059218056
TN,70-79,0.063368728
TX,70-79,0.047910119
UT,70-79,0.041945756
VT,70-79,0.068627654
VA,70-79,0.057174945
WA,70-79,0.056706591
WV,70-79,0.07482509
WI,70-79,0.060952965
WY,70-79,0.05629051
PR,70-79,0.076155761
AL,≥80,0.036103094
AK,≥80,0.01696806
AZ,≥80,0.03785585
AR,≥80,0.038224379
CA,≥80,0.033925778
CO,≥80,0.028954368
CT,≥80,0.044439707
DE,≥80,0.038447836
DC,≥80,0.029829638
FL,≥80,0.051145928
GA,≥80,0.026653478
HI,≥80,0.046729336
ID,≥80,0.033160846
IL,≥80,0.037267334
IN,≥80,0.036896293
IA,≥80,0.046218859
KS,≥80,0.040588388
KY,≥80,0.03514832
LA,≥80,0.0327322
ME,≥80,0.046624504
MD,≥80,0.034913158
MA,≥80,0.042776903
MI,≥80,0.040193651
MN,≥80,0.039623964
MS,≥80,0.033684353
MO,≥80,0.040027718
MT,≥80,0.040961861
NE,≥80,0.041729501
NV,≥80,0.028977815
NH,≥80,0.039587105
NJ,≥80,0.041212923
NM,≥80,0.03572003
NY,≥80,0.040822072
NC,≥80,0.034453569
ND,≥80,0.043748523
OH,≥80,0.041589061
OK,≥80,0.035621682
OR,≥80,0.0394632
PA,≥80,0.048112493
RI,≥80,0.048384481
SC,≥80,0.034486168
SD,≥80,0.04528481
TN,≥80,0.034740789
TX,≥80,0.027161566
UT,≥80,0.023982619
VT,≥80,0.042564539
VA,≥80,0.03304405
WA,≥80,0.034297185
WV,≥80,0.042901979
WI,≥80,0.042007904
WY,≥80,0.033758184
PR,≥80,0.042206503